Trade_Time;open;high;low;close;VOL;VB;VS;Delta_Vol;OI;doi;yurl_l;dyl;yurl_s;dys;yurl_l_num;yurl_s_num;fiz_l;fyl;fiz_s;fys
2022-07-21 10:40:00;111780.0;112120.0;111500.0;111700.0;3860;2124;1736;388;91314.0;1238.0;22324.0;497.0;2247.0;20.0;32.0;33.0;23333.0;121.0;43410.0;600.0
2022-07-21 10:45:00;111710.0;112160.0;111560.0;112160.0;2163;1254;909;345;92004.0;690.0;22514.0;190.0;2263.0;16.0;33.0;34.0;23488.0;155.0;43739.0;329.0
2022-07-21 10:50:00;112140.0;112430.0;111730.0;112330.0;2072;1172;900;272;92226.0;222.0;22442.0;-72.0;2280.0;17.0;26.0;36.0;23671.0;183.0;43833.0;94.0
2022-07-21 10:55:00;112350.0;112430.0;111730.0;111860.0;1880;739;1141;-402;92862.0;636.0;22639.0;197.0;2313.0;33.0;27.0;37.0;23792.0;121.0;44118.0;285.0
2022-07-21 11:00:00;111840.0;111860.0;111110.0;111260.0;2704;1016;1688;-672;93790.0;928.0;23054.0;415.0;2356.0;43.0;30.0;37.0;23841.0;49.0;44539.0;421.0
2022-07-21 11:05:00;111280.0;111700.0;111250.0;111570.0;1433;955;478;477;94142.0;352.0;23062.0;8.0;2429.0;73.0;26.0;39.0;24010.0;169.0;44641.0;102.0
2022-07-21 11:10:00;111540.0;111560.0;111180.0;111190.0;1054;449;605;-156;94349.0;207.0;23182.0;120.0;2476.0;47.0;27.0;38.0;23992.0;-18.0;44699.0;58.0
2022-07-21 11:15:00;111180.0;112380.0;111130.0;112110.0;2401;1681;720;961;94036.0;-313.0;23022.0;-160.0;2531.0;55.0;26.0;39.0;23996.0;4.0;44487.0;-212.0
2022-07-21 11:20:00;112090.0;112120.0;111280.0;111300.0;1308;504;804;-300;94224.0;188.0;23037.0;15.0;2535.0;4.0;26.0;37.0;24075.0;79.0;44577.0;90.0
2022-07-21 11:25:00;111300.0;111760.0;111130.0;111430.0;1816;941;875;66;94794.0;570.0;23192.0;155.0;2646.0;111.0;27.0;35.0;24205.0;130.0;44751.0;174.0
2022-07-21 11:30:00;111410.0;111890.0;110940.0;111450.0;3530;1757;1773;-16;95482.0;688.0;23529.0;337.0;2847.0;201.0;27.0;38.0;24212.0;7.0;44894.0;143.0
2022-07-21 11:35:00;111460.0;111830.0;111400.0;111730.0;991;628;363;265;95784.0;302.0;23625.0;96.0;2982.0;135.0;27.0;37.0;24267.0;55.0;44910.0;16.0
2022-07-21 11:40:00;111710.0;112100.0;111620.0;112060.0;1518;883;635;248;96002.0;218.0;23662.0;37.0;3089.0;107.0;27.0;37.0;24339.0;72.0;44912.0;2.0
2022-07-21 11:45:00;112060.0;112060.0;111830.0;111960.0;602;354;248;106;96302.0;300.0;23788.0;126.0;3219.0;130.0;27.0;37.0;24363.0;24.0;44932.0;20.0
2022-07-21 11:50:00;111920.0;111940.0;111530.0;111570.0;901;356;545;-189;96340.0;38.0;23866.0;78.0;3290.0;71.0;27.0;38.0;24304.0;-59.0;44880.0;-52.0
2022-07-21 11:55:00;111560.0;111700.0;111520.0;111670.0;419;305;114;191;96524.0;184.0;23883.0;17.0;3320.0;30.0;27.0;38.0;24379.0;75.0;44942.0;62.0
2022-07-21 12:00:00;111670.0;111670.0;111310.0;111360.0;852;342;510;-168;96812.0;288.0;24002.0;119.0;3308.0;-12.0;30.0;37.0;24404.0;25.0;45098.0;156.0
2022-07-21 12:05:00;111350.0;111590.0;111340.0;111480.0;407;208;199;9;96772.0;-40.0;24039.0;37.0;3308.0;0.0;28.0;36.0;24347.0;-57.0;45078.0;-20.0
2022-07-21 12:10:00;111470.0;111670.0;111200.0;111330.0;1102;430;672;-242;96856.0;84.0;24058.0;19.0;3326.0;18.0;29.0;38.0;24370.0;23.0;45102.0;24.0
