Datetime;open;high;low;close;VOL;VB;VS
2022-07-08 16:15:00;111880.0;112140.0;111800.0;112040.0;566;326;240
2022-07-08 16:20:00;112010.0;112460.0;111910.0;112380.0;761;523;238
2022-07-08 16:25:00;112360.0;112630.0;112290.0;112600.0;889;570;319
2022-07-08 16:30:00;112580.0;112660.0;112400.0;112440.0;675;309;366
2022-07-08 16:35:00;112430.0;112740.0;112420.0;112740.0;564;417;147
2022-07-08 16:40:00;112740.0;112770.0;112350.0;112380.0;934;374;560
2022-07-08 16:45:00;112370.0;112380.0;111800.0;111950.0;1300;481;819
2022-07-08 16:50:00;111950.0;112080.0;111840.0;111970.0;480;253;227
2022-07-08 16:55:00;111980.0;112210.0;111920.0;112060.0;643;330;313
2022-07-08 17:00:00;112020.0;112330.0;111820.0;112100.0;1178;557;621
2022-07-08 17:05:00;112110.0;112360.0;112090.0;112320.0;360;223;137
2022-07-08 17:10:00;112330.0;112350.0;112170.0;112290.0;386;195;191
2022-07-08 17:15:00;112320.0;112440.0;112110.0;112280.0;618;299;319
2022-07-08 17:20:00;112280.0;112430.0;112120.0;112360.0;433;204;229
2022-07-08 17:25:00;112350.0;112410.0;112190.0;112250.0;346;155;191
2022-07-08 17:30:00;112250.0;112290.0;112120.0;112190.0;350;109;241
2022-07-08 17:35:00;112180.0;112300.0;112130.0;112290.0;241;153;88
2022-07-08 17:40:00;112290.0;112310.0;112180.0;112210.0;444;234;210
2022-07-08 17:45:00;112220.0;112220.0;112030.0;112070.0;911;227;684
2022-07-08 17:50:00;112070.0;112340.0;111880.0;112260.0;1937;645;1292
2022-07-08 17:55:00;112260.0;112540.0;112150.0;112470.0;1134;668;466
2022-07-08 18:00:00;112460.0;112490.0;112130.0;112160.0;521;249;272
2022-07-08 18:05:00;112190.0;112200.0;111930.0;111960.0;687;267;420
2022-07-08 18:10:00;111950.0;112290.0;111910.0;112160.0;479;268;211
2022-07-08 18:15:00;112160.0;112160.0;111630.0;111840.0;1428;505;923
2022-07-08 18:20:00;111800.0;112240.0;111760.0;112200.0;753;489;264
2022-07-08 18:25:00;112190.0;112340.0;112040.0;112330.0;509;310;199
2022-07-08 18:30:00;112330.0;112350.0;112100.0;112220.0;856;269;587
2022-07-08 18:35:00;112250.0;112900.0;112250.0;112740.0;1859;1015;844
2022-07-08 18:40:00;112760.0;113100.0;112610.0;112920.0;985;617;368
2022-07-08 18:45:00;112950.0;113010.0;112500.0;112500.0;618;274;344
2022-07-11 10:00:00;112490.0;113470.0;111620.0;113370.0;4953;2867;2086
2022-07-11 10:05:00;113360.0;113780.0;113030.0;113200.0;3638;1955;1683
2022-07-11 10:10:00;113200.0;114180.0;113180.0;113770.0;2791;1598;1193
2022-07-11 10:15:00;113780.0;114280.0;113710.0;113970.0;2490;1266;1224
2022-07-11 10:20:00;113970.0;114080.0;113520.0;113780.0;2094;762;1332
2022-07-11 10:25:00;113790.0;113890.0;112780.0;113000.0;3136;1206;1930
2022-07-11 10:30:00;113020.0;113630.0;112910.0;113310.0;2218;1228;990
2022-07-11 10:35:00;113310.0;113730.0;113150.0;113150.0;1424;611;813
2022-07-11 10:40:00;113140.0;113610.0;112900.0;112930.0;1823;759;1064
2022-07-11 10:45:00;112950.0;113410.0;112950.0;113230.0;1058;589;469
2022-07-11 10:50:00;113210.0;113310.0;112650.0;113070.0;2536;1110;1426
2022-07-11 10:55:00;113080.0;113440.0;113020.0;113090.0;1017;570;447
2022-07-11 11:00:00;113150.0;113320.0;113040.0;113150.0;738;364;374
2022-07-11 11:05:00;113170.0;113260.0;112800.0;112970.0;911;370;541
2022-07-11 11:10:00;112980.0;113150.0;112940.0;113040.0;560;321;239
2022-07-11 11:15:00;113040.0;113130.0;112900.0;112930.0;388;170;218
2022-07-11 11:20:00;112950.0;113170.0;112890.0;113160.0;534;309;225
2022-07-11 11:25:00;113150.0;113500.0;113100.0;113360.0;941;549;392
2022-07-11 11:30:00;113370.0;113460.0;112890.0;113050.0;1301;560;741
2022-07-11 11:35:00;113050.0;113170.0;112830.0;112870.0;1200;502;698
2022-07-11 11:40:00;112870.0;113010.0;112720.0;112730.0;942;314;628
2022-07-11 11:45:00;112750.0;112760.0;112310.0;112440.0;2249;772;1477
2022-07-11 11:50:00;112440.0;112630.0;112280.0;112440.0;1534;694;840
2022-07-11 11:55:00;112430.0;112650.0;112340.0;112470.0;989;583;406
2022-07-11 12:00:00;112470.0;112510.0;112020.0;112170.0;1508;412;1096
2022-07-11 12:05:00;112160.0;112380.0;112100.0;112250.0;770;463;307
2022-07-11 12:10:00;112250.0;112260.0;111960.0;112100.0;954;352;602
2022-07-11 12:15:00;112100.0;112190.0;111910.0;112060.0;951;407;544
2022-07-11 12:20:00;112050.0;112120.0;111900.0;111900.0;467;214;253
2022-07-11 12:25:00;111900.0;112000.0;111700.0;111910.0;1309;616;693
2022-07-11 12:30:00;111880.0;111930.0;111500.0;111540.0;1218;350;868
2022-07-11 12:35:00;111540.0;111580.0;110530.0;110880.0;4813;2201;2612
2022-07-11 12:40:00;110880.0;110880.0;110550.0;110620.0;1505;658;847
2022-07-11 12:45:00;110610.0;110610.0;109800.0;110000.0;3284;1411;1873
2022-07-11 12:50:00;110000.0;110000.0;109400.0;109500.0;2748;1319;1429
2022-07-11 12:55:00;109470.0;109500.0;109000.0;109060.0;3501;1496;2005
2022-07-11 13:00:00;109040.0;109150.0;108500.0;109120.0;5598;2853;2745
2022-07-11 13:05:00;109140.0;109470.0;108960.0;109370.0;3003;1789;1214
2022-07-11 13:10:00;109350.0;109360.0;108770.0;108970.0;2347;1221;1126
2022-07-11 13:15:00;108970.0;109200.0;108560.0;108870.0;3154;1753;1401
2022-07-11 13:20:00;108930.0;108940.0;107590.0;107980.0;6788;3033;3755
2022-07-11 13:25:00;107990.0;108620.0;107950.0;108470.0;3329;2106;1223
2022-07-11 13:30:00;108460.0;108530.0;108130.0;108410.0;1806;1000;806
2022-07-11 13:35:00;108400.0;108630.0;108100.0;108600.0;1572;953;619
2022-07-11 13:40:00;108600.0;108620.0;108280.0;108570.0;1117;580;537
2022-07-11 13:45:00;108570.0;109010.0;108320.0;108910.0;2054;1317;737
2022-07-11 13:50:00;108880.0;108880.0;108260.0;108330.0;1682;675;1007
2022-07-11 13:55:00;108330.0;108420.0;108190.0;108380.0;1047;586;461
2022-07-11 14:05:00;108410.0;108780.0;108120.0;108160.0;1683;839;844
2022-07-11 14:10:00;108170.0;108380.0;108090.0;108360.0;1454;1016;438
2022-07-11 14:15:00;108330.0;108390.0;108110.0;108110.0;1029;535;494
2022-07-11 14:20:00;108110.0;108220.0;107810.0;107910.0;1940;924;1016
2022-07-11 14:25:00;107930.0;107930.0;107250.0;107400.0;4642;1950;2692
2022-07-11 14:30:00;107400.0;107940.0;107330.0;107910.0;1735;1099;636
2022-07-11 14:35:00;107920.0;107990.0;107640.0;107910.0;1236;547;689
2022-07-11 14:40:00;107900.0;108410.0;107880.0;108170.0;1729;971;758
2022-07-11 14:45:00;108170.0;108630.0;108080.0;108440.0;1663;908;755
2022-07-11 14:50:00;108440.0;108500.0;108250.0;108500.0;696;417;279
2022-07-11 14:55:00;108490.0;108620.0;108270.0;108500.0;811;409;402
2022-07-11 15:00:00;108500.0;108610.0;108360.0;108370.0;842;392;450
2022-07-11 15:05:00;108400.0;108420.0;108250.0;108370.0;617;357;260
2022-07-11 15:10:00;108380.0;108910.0;108220.0;108780.0;1517;906;611
2022-07-11 15:15:00;108790.0;109270.0;108660.0;109260.0;1696;1130;566
2022-07-11 15:20:00;109240.0;109350.0;109090.0;109310.0;1549;754;795
2022-07-11 15:25:00;109300.0;109350.0;108940.0;109000.0;1416;645;771
2022-07-11 15:30:00;108990.0;109350.0;108950.0;109340.0;1300;924;376
2022-07-11 15:35:00;109330.0;109800.0;109190.0;109760.0;2313;1396;917
2022-07-11 15:40:00;109790.0;109800.0;109080.0;109120.0;2212;671;1541
2022-07-11 15:45:00;109120.0;109220.0;108830.0;108960.0;1565;532;1033
2022-07-11 15:50:00;108930.0;109150.0;108820.0;108870.0;1085;482;603
2022-07-11 15:55:00;108850.0;109180.0;108830.0;108970.0;1105;449;656
2022-07-11 16:00:00;108980.0;109480.0;108970.0;109230.0;1953;1124;829
2022-07-11 16:05:00;109220.0;109590.0;109220.0;109390.0;1148;526;622
2022-07-11 16:10:00;109360.0;109370.0;108820.0;108820.0;1513;438;1075
2022-07-11 16:15:00;108830.0;109150.0;108610.0;109150.0;1852;915;937
2022-07-11 16:20:00;109150.0;109560.0;109140.0;109430.0;1352;728;624
2022-07-11 16:25:00;109440.0;109640.0;109170.0;109560.0;963;577;386
2022-07-11 16:30:00;109550.0;109560.0;109220.0;109430.0;1123;496;627
2022-07-11 16:35:00;109420.0;109700.0;109320.0;109420.0;960;499;461
2022-07-11 16:40:00;109410.0;109540.0;109230.0;109460.0;630;282;348
2022-07-11 16:45:00;109480.0;109900.0;109460.0;109870.0;2387;1629;758
2022-07-11 16:50:00;109850.0;110620.0;109850.0;110290.0;3937;2264;1673
2022-07-11 16:55:00;110310.0;110670.0;110280.0;110490.0;1736;872;864
2022-07-11 17:00:00;110490.0;111130.0;110460.0;110960.0;3886;2099;1787
2022-07-11 17:05:00;110970.0;111690.0;110950.0;111150.0;3158;1729;1429
2022-07-11 17:10:00;111160.0;111220.0;110840.0;110980.0;2415;922;1493
2022-07-11 17:15:00;110990.0;111780.0;110980.0;111680.0;2428;1431;997
2022-07-11 17:20:00;111670.0;112150.0;111410.0;112130.0;3711;1980;1731
2022-07-11 17:25:00;112110.0;112460.0;112050.0;112260.0;2873;1429;1444
2022-07-11 17:30:00;112270.0;112600.0;112100.0;112600.0;2845;1413;1432
2022-07-11 17:35:00;112600.0;112980.0;112450.0;112780.0;3138;1261;1877
2022-07-11 17:40:00;112790.0;113420.0;112720.0;112760.0;3513;1589;1924
2022-07-11 17:45:00;112730.0;112950.0;112520.0;112570.0;1971;688;1283
2022-07-11 17:50:00;112560.0;113060.0;112550.0;112700.0;1569;756;813
2022-07-11 17:55:00;112720.0;112950.0;112590.0;112710.0;1301;499;802
2022-07-11 18:00:00;112710.0;113200.0;112690.0;112910.0;2727;1233;1494
2022-07-11 18:05:00;112900.0;113020.0;112110.0;112170.0;3622;1208;2414
2022-07-11 18:10:00;112150.0;112480.0;112120.0;112480.0;1737;882;855
2022-07-11 18:15:00;112480.0;113160.0;112480.0;113090.0;1821;1047;774
2022-07-11 18:20:00;113090.0;113650.0;113070.0;113570.0;2098;1206;892
2022-07-11 18:25:00;113580.0;113920.0;113440.0;113550.0;2765;1299;1466
2022-07-11 18:30:00;113540.0;114010.0;113540.0;113910.0;1645;896;749
2022-07-11 18:35:00;113900.0;113990.0;113530.0;113690.0;1472;430;1042
2022-07-11 18:40:00;113680.0;114090.0;113670.0;113910.0;1662;648;1014
2022-07-11 18:45:00;113920.0;114500.0;113900.0;114500.0;1561;889;672
2022-07-12 10:00:00;114210.0;114850.0;112800.0;113170.0;6161;2804;3357
2022-07-12 10:05:00;113170.0;114230.0;112530.0;112900.0;6205;2879;3326
2022-07-12 10:10:00;112890.0;113500.0;112150.0;112180.0;4824;2127;2697
2022-07-12 10:15:00;112190.0;113310.0;112110.0;112970.0;4083;2004;2079
2022-07-12 10:20:00;112960.0;114030.0;112920.0;113990.0;3466;1897;1569
2022-07-12 10:25:00;113990.0;114420.0;113820.0;113890.0;3532;1643;1889
2022-07-12 10:30:00;113940.0;114640.0;113900.0;114020.0;3885;2233;1652
2022-07-12 10:35:00;114030.0;114300.0;113520.0;113850.0;2374;1053;1321
2022-07-12 10:40:00;113850.0;114320.0;113200.0;113300.0;2273;895;1378
2022-07-12 10:45:00;113290.0;113450.0;111820.0;111980.0;3890;1453;2437
2022-07-12 10:50:00;111980.0;112490.0;111700.0;111700.0;2965;1381;1584
2022-07-12 10:55:00;111730.0;112290.0;111700.0;112010.0;1971;1019;952
2022-07-12 11:00:00;112020.0;112200.0;111180.0;111580.0;3358;1569;1789
2022-07-12 11:05:00;111600.0;111880.0;111220.0;111590.0;2476;1197;1279
2022-07-12 11:10:00;111560.0;112260.0;111370.0;112230.0;2196;1435;761
2022-07-12 11:15:00;112240.0;112740.0;112100.0;112350.0;2219;1225;994
2022-07-12 11:20:00;112340.0;112890.0;112340.0;112730.0;1749;1007;742
2022-07-12 11:25:00;112720.0;112890.0;112510.0;112580.0;1308;647;661
2022-07-12 11:30:00;112580.0;112760.0;112050.0;112290.0;1487;537;950
2022-07-12 11:35:00;112240.0;113060.0;112180.0;112900.0;1730;1055;675
2022-07-12 11:40:00;112900.0;113000.0;112510.0;112880.0;1261;557;704
2022-07-12 11:45:00;112890.0;113060.0;112230.0;112420.0;1326;523;803
2022-07-12 11:50:00;112440.0;112440.0;111730.0;111910.0;2081;651;1430
2022-07-12 11:55:00;111900.0;112400.0;111530.0;112200.0;2237;1198;1039
2022-07-12 12:00:00;112200.0;112460.0;111900.0;112310.0;1355;731;624
2022-07-12 12:05:00;112280.0;112690.0;112010.0;112250.0;1148;547;601
2022-07-12 12:10:00;112220.0;112360.0;111600.0;111650.0;1425;523;902
2022-07-12 12:15:00;111640.0;111800.0;111340.0;111390.0;1314;416;898
2022-07-12 12:20:00;111400.0;111400.0;110540.0;110570.0;3192;1180;2012
2022-07-12 12:25:00;110560.0;111190.0;110250.0;111090.0;2520;1410;1110
2022-07-12 12:30:00;111090.0;111360.0;110740.0;110880.0;1718;947;771
2022-07-12 12:35:00;110890.0;111150.0;110660.0;111010.0;1058;493;565
2022-07-12 12:40:00;111040.0;111560.0;110870.0;111560.0;1239;748;491
2022-07-12 12:45:00;111570.0;111680.0;111380.0;111610.0;1171;518;653
2022-07-12 12:50:00;111610.0;111690.0;111400.0;111630.0;973;562;411
2022-07-12 12:55:00;111630.0;112070.0;111630.0;111720.0;1979;977;1002
2022-07-12 13:00:00;111750.0;112600.0;111620.0;112430.0;3080;1595;1485
2022-07-12 13:05:00;112410.0;112660.0;112070.0;112110.0;1446;647;799
2022-07-12 13:10:00;112110.0;113350.0;112010.0;113230.0;3341;1981;1360
2022-07-12 13:15:00;113240.0;113780.0;112870.0;112880.0;2710;1152;1558
2022-07-12 13:20:00;112870.0;113080.0;112530.0;112810.0;1894;906;988
2022-07-12 13:25:00;112800.0;113190.0;112720.0;113010.0;1142;588;554
2022-07-12 13:30:00;113030.0;113320.0;112790.0;112810.0;1116;575;541
2022-07-12 13:35:00;112860.0;113030.0;112690.0;112800.0;928;409;519
2022-07-12 13:40:00;112840.0;113070.0;112620.0;112950.0;839;505;334
2022-07-12 13:45:00;112990.0;113250.0;112620.0;112620.0;1300;571;729
2022-07-12 13:50:00;112620.0;113020.0;112580.0;112730.0;657;375;282
2022-07-12 13:55:00;112770.0;112840.0;112380.0;112460.0;899;337;562
2022-07-12 14:05:00;112450.0;113390.0;112450.0;113340.0;2060;1252;808
2022-07-12 14:10:00;113320.0;113470.0;113100.0;113120.0;1092;641;451
2022-07-12 14:15:00;113140.0;113700.0;113120.0;113550.0;1420;838;582
2022-07-12 14:20:00;113550.0;113840.0;113450.0;113840.0;1478;906;572
2022-07-12 14:25:00;113840.0;113880.0;113430.0;113600.0;1446;708;738
2022-07-12 14:30:00;113580.0;113610.0;113320.0;113490.0;952;483;469
2022-07-12 14:35:00;113460.0;113460.0;112810.0;112940.0;1656;682;974
2022-07-12 14:40:00;112960.0;113160.0;112810.0;112930.0;1221;641;580
2022-07-12 14:45:00;112930.0;112930.0;112560.0;112780.0;889;326;563
2022-07-12 14:50:00;112800.0;113410.0;112800.0;113150.0;1415;841;574
2022-07-12 14:55:00;113140.0;113360.0;113050.0;113070.0;504;251;253
2022-07-12 15:00:00;113090.0;113390.0;113030.0;113110.0;620;288;332
2022-07-12 15:05:00;113100.0;113200.0;112440.0;112540.0;1159;353;806
2022-07-12 15:10:00;112520.0;113050.0;112400.0;112600.0;1195;618;577
2022-07-12 15:15:00;112580.0;113500.0;112570.0;113490.0;1031;706;325
2022-07-12 15:20:00;113490.0;113880.0;113170.0;113180.0;1993;1017;976
2022-07-12 15:25:00;113220.0;113490.0;113060.0;113240.0;680;365;315
